Response function created for file:Kr88.m   at 20-Feb-20 08:30:03
Calibration (a0,a1)=     0.0   10.000  FWHM=    6.0

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
   200.0      30.3   0.922  0.7135  0.2865  0.0000  0.0000  0.0000
   400.0      37.4   0.994  0.6270  0.3730  0.0000  0.0000  0.0000
   600.0      48.1   1.010  0.5810  0.4190  0.0000  0.0000  0.0000
   800.0      57.1   1.020  0.5464  0.4536  0.0000  0.0000  0.0000
  1000.0      65.7   1.010  0.5233  0.4767  0.0000  0.0000  0.0000
  1200.0      74.0   1.000  0.4990  0.5010  0.0000  0.0000  0.0000
  1400.0      82.5   0.998  0.4797  0.5203  0.0000  0.0000  0.0000
  1600.0      89.4   0.992  0.4569  0.5301  0.0069  0.0000  0.0060
  1800.0      98.0   0.990  0.4358  0.5451  0.0092  0.0000  0.0098
  2000.0     106.4   0.988  0.4194  0.5551  0.0114  0.0000  0.0141
  2200.0     113.7   0.988  0.4014  0.5627  0.0203  0.0000  0.0157
  2400.0     121.6   0.989  0.3847  0.5704  0.0229  0.0000  0.0219
  2600.0     128.8   0.991  0.3699  0.5801  0.0258  0.0000  0.0242
  2800.0     134.6   0.994  0.3542  0.5899  0.0273  0.0000  0.0287
  3000.0     139.9   0.997  0.3449  0.5961  0.0279  0.0000  0.0311
  3200.0     141.9   1.002  0.3326  0.6005  0.0304  0.0012  0.0353
  3400.0     143.0   1.007  0.3198  0.6056  0.0329  0.0023  0.0394
  3600.0     146.5   1.012  0.3084  0.6105  0.0355  0.0028  0.0428
  3800.0     152.9   1.016  0.2971  0.6168  0.0381  0.0028  0.0453
  4000.0     159.1   1.020  0.2858  0.6231  0.0406  0.0027  0.0478
  4200.0     164.3   1.024  0.2771  0.6273  0.0427  0.0027  0.0501
  4400.0     169.1   1.028  0.2680  0.6322  0.0447  0.0027  0.0523
  4600.0     173.2   1.034  0.2596  0.6369  0.0463  0.0030  0.0542
  4800.0     176.5   1.042  0.2513  0.6421  0.0472  0.0037  0.0557
  5000.0     179.3   1.050  0.2431  0.6474  0.0481  0.0044  0.0571
  5200.0     183.6   1.054  0.2364  0.6535  0.0467  0.0041  0.0593
  5400.0     187.7   1.058  0.2294  0.6598  0.0453  0.0039  0.0615
  5600.0     192.8   1.062  0.2224  0.6620  0.0493  0.0033  0.0629
  5800.0     199.1   1.066  0.2148  0.6609  0.0585  0.0023  0.0635
  6000.0     205.2   1.070  0.2074  0.6594  0.0677  0.0013  0.0641
  6200.0     209.7   1.076  0.2016  0.6655  0.0664  0.0016  0.0649
  6400.0     214.0   1.082  0.1957  0.6716  0.0651  0.0019  0.0658
  6600.0     218.2   1.088  0.1899  0.6776  0.0638  0.0022  0.0666
  6800.0     222.2   1.094  0.1840  0.6837  0.0625  0.0024  0.0674
  7000.0     226.0   1.100  0.1781  0.6898  0.0611  0.0027  0.0683
  7200.0     229.2   1.106  0.1729  0.6949  0.0608  0.0027  0.0687
  7400.0     232.2   1.112  0.1678  0.6999  0.0604  0.0027  0.0693
  7600.0     235.1   1.118  0.1624  0.7053  0.0599  0.0027  0.0697
  7800.0     237.7   1.124  0.1570  0.7107  0.0595  0.0027  0.0701
  8000.0     240.2   1.130  0.1519  0.7157  0.0591  0.0027  0.0706
  8200.0     244.3   1.134  0.1468  0.7227  0.0573  0.0026  0.0707
  8400.0     248.4   1.138  0.1417  0.7298  0.0554  0.0025  0.0707
  8600.0     252.4   1.142  0.1365  0.7369  0.0535  0.0023  0.0708
  8800.0     256.3   1.146  0.1313  0.7442  0.0515  0.0022  0.0708
  9000.0     260.2   1.150  0.1261  0.7513  0.0496  0.0021  0.0708
  9200.0     264.3   1.154  0.1216  0.7572  0.0490  0.0021  0.0701
  9400.0     268.4   1.158  0.1169  0.7636  0.0483  0.0020  0.0692
  9600.0     272.4   1.162  0.1123  0.7697  0.0476  0.0020  0.0684
  9800.0     276.3   1.166  0.1078  0.7758  0.0470  0.0019  0.0675
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     0.0   0.850   0.000   0.000
    10.0   0.854   0.000   0.000
    20.0   0.857   0.000   0.000
    30.0   0.861   0.000   0.000
    40.0   0.864   0.000   0.000
    50.0   0.868   0.000   0.000
    60.0   0.872   0.000   0.000
    70.0   0.875   0.000   0.000
    80.0   0.879   0.000   0.000
    90.0   0.882   0.000   0.000
   100.0   0.886   0.000   0.000
   110.0   0.890   0.000   0.000
   120.0   0.893   0.000   0.000
   130.0   0.897   0.008   0.007
   140.0   0.900   0.018   0.016
   150.0   0.904   0.028   0.025
   160.0   0.908   0.037   0.034
   170.0   0.911   0.047   0.043
   180.0   0.915   0.057   0.052
   190.0   0.918   0.104   0.095
   200.0   0.922   0.166   0.153
   210.0   0.926   0.228   0.211
   220.0   0.929   0.290   0.270
   230.0   0.933   0.353   0.329
   240.0   0.936   0.415   0.389
   250.0   0.940   0.459   0.432
   260.0   0.944   0.491   0.463
   270.0   0.947   0.523   0.496
   280.0   0.951   0.555   0.528
   290.0   0.954   0.587   0.560
   300.0   0.958   0.632   0.606
   310.0   0.962   0.686   0.660
   320.0   0.965   0.740   0.715
   330.0   0.969   0.794   0.770
   340.0   0.972   0.848   0.825
   350.0   0.976   0.873   0.852
   360.0   0.980   0.879   0.861
   370.0   0.983   0.884   0.869
   380.0   0.987   0.890   0.878
   390.0   0.990   0.895   0.887
   400.0   0.994   0.901   0.895
   410.0   0.995   0.906   0.902
   420.0   0.996   0.912   0.908
   430.0   0.996   0.917   0.914
   440.0   0.997   0.923   0.920
   450.0   0.998   0.928   0.926
   460.0   0.999   0.934   0.933
   470.0   1.000   0.939   0.939
   480.0   1.000   0.945   0.945
   490.0   1.001   0.950   0.952
   500.0   1.002   0.956   0.958
   510.0   1.003   0.961   0.964
   520.0   1.004   0.967   0.970
   530.0   1.004   0.972   0.977
   540.0   1.005   0.978   0.983
   550.0   1.006   0.983   0.989
   560.0   1.007   0.989   0.996
   570.0   1.008   0.990   0.998
   580.0   1.008   0.991   0.999
   590.0   1.009   0.991   1.000
   600.0   1.010   0.992   1.002
   610.0   1.010   0.992   1.003
   620.0   1.011   0.993   1.004
   630.0   1.012   0.993   1.005
   640.0   1.012   0.994   1.006
   650.0   1.013   0.994   1.006
   660.0   1.013   0.995   1.007
   670.0   1.013   0.995   1.008
   680.0   1.014   0.995   1.009
   690.0   1.015   0.996   1.010
   700.0   1.015   0.996   1.011
   710.0   1.015   0.997   1.012
   720.0   1.016   0.997   1.013
   730.0   1.016   0.998   1.014
   740.0   1.017   0.998   1.015
   750.0   1.017   0.999   1.016
   760.0   1.018   0.999   1.017
   770.0   1.018   1.000   1.018
   780.0   1.019   1.000   1.019
   790.0   1.020   1.000   1.020
   800.0   1.020   1.000   1.020
   810.0   1.020   1.000   1.020
   820.0   1.019   1.000   1.019
   830.0   1.018   1.000   1.018
   840.0   1.018   1.000   1.018
   850.0   1.017   1.000   1.017
   860.0   1.017   1.000   1.017
   870.0   1.016   1.000   1.016
   880.0   1.016   1.000   1.016
   890.0   1.015   1.000   1.015
   900.0   1.015   1.000   1.015
   910.0   1.015   1.000   1.015
   920.0   1.014   1.000   1.014
   930.0   1.013   1.000   1.013
   940.0   1.013   1.000   1.013
   950.0   1.013   1.000   1.013
   960.0   1.012   1.000   1.012
   970.0   1.012   1.000   1.012
   980.0   1.011   1.000   1.011
   990.0   1.010   1.000   1.010
  1000.0   1.010   1.000   1.010
