Response function created for file:Kr88.m   at 11-Dec-21 13:58:05
Calibration (a0,a1)=   4.000  16.000  FWHM (rel. at 1.33 MeV)=   5.980

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
     4.0       3.2   0.851  1.0000  0.0000  0.0000  0.0000  0.0000
   164.0      26.6   0.909  0.8048  0.1952  0.0000  0.0000  0.0000
   324.0      37.5   0.967  0.7289  0.2711  0.0000  0.0000  0.0000
   484.0      42.6   1.001  0.6466  0.3534  0.0000  0.0000  0.0000
   644.0      50.4   1.012  0.6111  0.3889  0.0000  0.0000  0.0000
   804.0      57.3   1.020  0.5794  0.4206  0.0000  0.0000  0.0000
   964.0      64.4   1.012  0.5550  0.4450  0.0000  0.0000  0.0000
  1124.0      71.1   1.004  0.5341  0.4659  0.0000  0.0000  0.0000
  1284.0      77.8   0.999  0.5134  0.4866  0.0000  0.0000  0.0000
  1444.0      84.2   0.997  0.4946  0.5025  0.0016  0.0000  0.0014
  1604.0      89.5   0.992  0.4752  0.5113  0.0072  0.0000  0.0063
  1764.0      96.5   0.990  0.4560  0.5254  0.0092  0.0000  0.0095
  1924.0     103.2   0.989  0.4410  0.5351  0.0110  0.0000  0.0129
  2084.0     109.5   0.988  0.4260  0.5431  0.0156  0.0000  0.0152
  2244.0     115.4   0.988  0.4103  0.5506  0.0215  0.0000  0.0176
  2404.0     121.7   0.989  0.3965  0.5571  0.0237  0.0000  0.0227
  2564.0     127.5   0.991  0.3842  0.5652  0.0261  0.0000  0.0245
  2724.0     132.5   0.993  0.3707  0.5741  0.0275  0.0000  0.0277
  2884.0     136.9   0.995  0.3604  0.5807  0.0283  0.0000  0.0305
  3044.0     140.4   0.998  0.3517  0.5858  0.0293  0.0003  0.0329
  3204.0     141.9   1.002  0.3405  0.5908  0.0312  0.0012  0.0362
  3364.0     142.8   1.006  0.3301  0.5950  0.0332  0.0021  0.0396
  3524.0     144.0   1.010  0.3205  0.5983  0.0353  0.0029  0.0428
  3684.0     149.2   1.014  0.3115  0.6032  0.0375  0.0029  0.0449
  3844.0     154.2   1.017  0.3019  0.6087  0.0396  0.0028  0.0470
  4004.0     159.2   1.020  0.2929  0.6135  0.0417  0.0027  0.0491
  4164.0     163.3   1.023  0.2855  0.6175  0.0434  0.0027  0.0509
  4324.0     167.3   1.026  0.2778  0.6218  0.0450  0.0028  0.0527
  4484.0     171.1   1.030  0.2702  0.6259  0.0466  0.0028  0.0545
  4644.0     174.0   1.036  0.2636  0.6298  0.0475  0.0033  0.0558
  4804.0     176.5   1.042  0.2571  0.6337  0.0483  0.0038  0.0570
  4964.0     178.8   1.049  0.2499  0.6387  0.0489  0.0043  0.0581
  5124.0     182.0   1.052  0.2447  0.6427  0.0484  0.0043  0.0599
  5284.0     185.4   1.056  0.2389  0.6482  0.0472  0.0041  0.0616
  5444.0     188.6   1.059  0.2338  0.6525  0.0462  0.0039  0.0636
  5604.0     193.0   1.062  0.2277  0.6538  0.0507  0.0034  0.0645
  5764.0     197.9   1.065  0.2214  0.6529  0.0582  0.0025  0.0649
  5924.0     202.9   1.068  0.2155  0.6515  0.0658  0.0017  0.0654
  6084.0     207.1   1.073  0.2095  0.6544  0.0687  0.0015  0.0659
  6244.0     210.7   1.077  0.2048  0.6593  0.0676  0.0017  0.0666
  6404.0     214.1   1.082  0.2003  0.6638  0.0666  0.0019  0.0673
  6564.0     217.4   1.087  0.1953  0.6691  0.0655  0.0022  0.0680
  6724.0     220.7   1.092  0.1906  0.6738  0.0645  0.0024  0.0687
  6884.0     223.8   1.097  0.1856  0.6791  0.0633  0.0026  0.0693
  7044.0     226.8   1.101  0.1813  0.6833  0.0626  0.0028  0.0701
  7204.0     229.3   1.106  0.1766  0.6883  0.0621  0.0028  0.0703
  7364.0     231.7   1.111  0.1726  0.6921  0.0619  0.0028  0.0708
  7524.0     234.0   1.116  0.1684  0.6961  0.0616  0.0028  0.0712
  7684.0     236.2   1.121  0.1639  0.7007  0.0612  0.0028  0.0715
  7844.0     238.3   1.125  0.1596  0.7049  0.0608  0.0028  0.0719
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     4.0   0.851   0.000   0.000
    20.0   0.857   0.000   0.000
    36.0   0.863   0.000   0.000
    52.0   0.869   0.000   0.000
    68.0   0.874   0.000   0.000
    84.0   0.880   0.000   0.000
   100.0   0.886   0.000   0.000
   116.0   0.892   0.000   0.000
   132.0   0.898   0.010   0.009
   148.0   0.903   0.026   0.023
   164.0   0.909   0.041   0.038
   180.0   0.915   0.057   0.052
   196.0   0.921   0.141   0.130
   212.0   0.926   0.241   0.223
   228.0   0.932   0.340   0.317
   244.0   0.938   0.440   0.413
   260.0   0.944   0.491   0.463
   276.0   0.949   0.542   0.515
   292.0   0.955   0.594   0.567
   308.0   0.961   0.676   0.649
   324.0   0.967   0.762   0.737
   340.0   0.972   0.848   0.825
   356.0   0.978   0.877   0.857
   372.0   0.984   0.885   0.871
   388.0   0.990   0.894   0.885
   404.0   0.994   0.903   0.898
   420.0   0.996   0.912   0.908
   436.0   0.997   0.921   0.918
   452.0   0.998   0.929   0.928
   468.0   0.999   0.938   0.938
   484.0   1.001   0.947   0.948
   500.0   1.002   0.956   0.958
   516.0   1.003   0.965   0.968
   532.0   1.005   0.973   0.978
   548.0   1.006   0.982   0.988
   564.0   1.007   0.990   0.997
   580.0   1.008   0.991   0.999
   596.0   1.010   0.992   1.001
   612.0   1.011   0.992   1.003
   628.0   1.011   0.993   1.004
   644.0   1.012   0.994   1.006
   660.0   1.013   0.995   1.007
   676.0   1.014   0.995   1.009
   692.0   1.015   0.996   1.011
   708.0   1.015   0.997   1.012
   724.0   1.016   0.997   1.014
   740.0   1.017   0.998   1.015
   756.0   1.018   0.999   1.017
   772.0   1.019   1.000   1.018
   788.0   1.019   1.000   1.019
   804.0   1.020   1.000   1.020
   820.0   1.019   1.000   1.019
   836.0   1.018   1.000   1.018
   852.0   1.017   1.000   1.017
   868.0   1.017   1.000   1.017
   884.0   1.016   1.000   1.016
   900.0   1.015   1.000   1.015
   916.0   1.014   1.000   1.014
   932.0   1.013   1.000   1.013
   948.0   1.013   1.000   1.013
   964.0   1.012   1.000   1.012
   980.0   1.011   1.000   1.011
   996.0   1.010   1.000   1.010
